NO,KODE BARANG,REG,NAMA BARANG / JENIS BARANG,UKURAN CC,SATUAN,TAHUN PEMBELIAN,BAHAN,MERK, TYPE,Tanggal & No BAST,, HARGA (Rp.) ,SUMBER DANA,Kondisi Barang,,,Masuk Dalam KIB,,PENGEMBANG,KEBERADAAN BARANG,
12,132080118003,000464 000464,Kompor Gas,2,Unit,2020,Seng,Rinnai,RI-712A,19-10-2020,724/PLN-BASTX/2020," 1,619,200 ",BOS,Baik,-,-,Ya,,PT. PUTRI LEMBAYUNG NINGRUM,Di Gudang ATK,
13,132070101145,000043 000044 000045 000046 000047,Thermometer Infrared,5,Unit,2020,C,Luna.Life , KF10,20-10-2020,320320/BASTB/KDP/III/2020," 14,190,000 ",BOS,Baik,-,-,Ya,,PT. KATALIS DATESA PRIMA,Di TU Depan,
14,132100203017,003543 003544 003545,Hardisk Eksternal,3,Unit,2020,C,Seagate Backup Plus Slim,Srdovn2,17-12-2020,BT-2020-12-17-0288547," 2,442,000 ",BOS,Baik,-,-,Ya,,CV. WIRA DHARMA,"Di Bu Wiwik (1Buah), Di Tu Depan (1 Buah) Di Pak Erik ( 1 Unit)",
15,132100204001,000657,Server,1,Unit,2020,C,Lenovo ,7X10-CTO1WW,11-12-2020,BT-2020-12-11-0276422," 49,500,000 ",BOS,Baik,-,-,Ya,,CV. WIRA DHARMA,Di lab. Komputer,
16,132010305010,003271-003289,Perangkat Tablet,20,Unit,2020,C,Samsung,SM-T295,11-12-2020,S10000484375," 40,000,000 ",BOS,Baik,-,-,Ya,,PT. MULTI SBN,"Di TU (11 Unit), Di Karyawan (2 Unit), Di Siswa (4 Unit), Di Guru (2 Unit)",
17,132100102002,005697 005698,Laptop,2,Unit,2020,C,Lenovo ,Ideapad 3 14IIL05,11-12-2020,BT-2020-12-11-0276442," 27,211,800 ",BOS,Baik,-,-,Ya,,CV. WIRA DHARMA,"Di Kepsek (1 Unit), Di Bu. Wiwik (1 Buah)",
18,132050201023,,Meja Siswa,28,Buah,2020,Kayu,,,11-12-2020,S1000499769," 14,630,000 ",BOS,Baik,-,-,,Tidak,CV EDUTAMA SINERGI,"DI Kelas X P 4: 3 Meja,  XP 3: 4 Meja, X IPS 1: 2 Meja ,XII P 4:  1 Meja, XII P 5: 7 Meja, XII IPS 2: 4 Gudang:7 Meja",
19,132050201004,,Kursi Siswa,28,Buah,2020,Kayu,,,11-12-2020,S1000499769," 9,240,000 ",BOS,Baik,-,-,,Tidak,CV EDUTAMA SINERGI,"DI Kelas X P 1:5 Kursi, X P2:4 Kursi, X P3:4 Kurai, X P4: 4Kursi, X P5: 4 Kursi, XII IPS1: 2 Kursi, XII IPS2:1 Kursi, X IPS1:2Kursi, X IPS2:2Kursi",
1,132050105043,008204  008205,LCD Proyektor,2,Unit,2021,Campuran,Epson,EB X500,15-04-2021,S10000804431," 13,200,000 ",BOS TW 1,Baik,-,-,Ya,,CV WIRA DHARMA,Di TU Belakang,
2,132100102002,004570,Lap Top,1,Unit,2021,Campuran,ASUS  ,Core i5-1135G7,15 -06-2021,S10001097972," 9,240,000 ",BOS TW 2,Baik,-,-,Ya,,CV WIRA DHARMA,Di Pak Lehan,
